PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
PLOTTITLE[how young people spend their evenings], YLABEL[proportion], XHIGHEST[watch tv], XSECOND[go out], YLABEL[proportion], XTHIRD[spend time with family], XLEAST[read a book]	This chart shows how young people spend their evenings . We can see that a high proportion watch tv or go out whilst a much smaller proportion spend time with family or read a book .
PLOTTITLE[Cause of obesity in Kiribati], XLABEL[cause], XHIGHEST[genetic], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[Lack of exercise], YSECONDAPPROX[36], YUNIT[%], XLEAST[fast food], YLEASTAPPROX[24], YUNIT[%]	Cause of obesity in Kiribati . Main cause is genetic at 40 % . Then Lack of exercise at 36 % , finally fast food at 24 % .
XHIGHEST[Asia], T1AY[higher education], YUNIT[$], YHIGHESTAPPROX[300], YMAG[million], XSECOND[North America], YUNIT[$], YSECOND[200], YMAG[million], XTHIRD[Europe], YUNIT[$], YTHIRD[100], YMAG[million], XLEAST[Africa], YUNIT[$], YLEAST[50], YMAG[million]	The chart shows that Asia spends the most on higher education , spending over $ 300 million , North America is 2nd , spending $ 200 million . Europe is 3rd , spending $ 100 million , and Africa 4th , spending $ 50 million .
PLOTTITLE[percentage of students who chose to study], COUNT[4], XLABEL[subjects], BARNAMES[STEM , Literature , Philosophy and Medicine], XHIGHEST[Medicine], YSECOND[30], YUNIT[%], T1AY[student], T1AX[choosing], XSECOND[philosophy], YSECOND[30], YUNIT[%], T1AB[choosing], XLEAST[STEM], YLEAST[15], YUNIT[%], T1AB[choosing]	As you can see this graph shows the percentage of students who chose to study 4 different subjects these being , STEM , Literature , Philosophy and Medicine . Medicine was the most popular with just over 30 % of student choosing it although philosophy was close with 30 % choosing it . The least popular was STEM with only 15 % choosing it .
PLOTTITLE[stock closing prices for one week for the company Akef Inc], XLABEL[day], YLABEL[closing stock price], XHIGHEST[Wednesday], YLABEL[closing price], YUNIT[£], YHIGHESTAPPROX[75], XSECOND[Tuesday], YLABEL[closing price], YUNIT[£], YSECONDAPPROX[61], XTHIRD[Monday], XLABEL[day], YLABEL[closing stock price], YUNIT[£], YFOURTHAPPROX[21], GRFOURTHLEAST[Thursday and Friday], GRHIGHESTSECONDTHIRD[others days], YLABEL[closing stock price], YUNIT[£], YTHIRDAPPROX[50], YUNIT[£], YFOURTHAPPROX[21], XFOURTH[Thursday], YUNIT[£], YLEASTAPPROX[10], XLEAST[Friday]	This chart is about the stock closing prices for one week for the company Akef Inc The day with the highest closing stock price was Wednesday , with a closing price of about £ 75 . This was followed by Tuesday with a closing price of £ 61 . Monday was also not a bad day , as the closing stock price was £ 21 . Unfortunately Thursday and Friday did not do as well as the others days , as the closing stock price was below £ 50 , £ 21 for Thursday and £ 10 for Friday .
XSTART[from], XLEAST[2000], XEND[-], XHIGHEST[2015], T1AY[median], YLABEL[salary], T1AB[women], YUNIT[$], YLEAST[40], YMAG[,000], XLEAST[2000], YUNIT[$], YHIGHESTAPPROX[50], YMAG[,000], XHIGHEST[2015]	This graph shows that from 2000 - 2015 the median salary of women rose consistently from $ 40 ,000 in 2000 to over $ 50 ,000 in 2015
PLOTTITLE[how young people in Zarqa spend their time in the evenings], GRYSECONDTHIRD[50], YUNIT[%], GRSECONDTHIRD[socialise], GRYHIGHESTLEAST[50], YUNIT[%], GRHIGHESTLEAST[solo activities], YSECOND[32], YUNIT[%], T0AY[youths], GRSECONDTHIRD[socialise], XSECOND[spend time with their families], YTHIRD[18], YUNIT[%], XTHIRD[go out], T0AY[youths], GRHIGHESTLEAST[solo activities], YHIGHEST[38], YUNIT[%], XHIGHEST[read a book], YLEAST[12], YUNIT[%], XLEAST[watch TV]	This chart shows how young people in Zarqa spend their time in the evenings . With 50 % choosing to socialise and the other 50 % choosing solo activities . This is broken down with 32 % of the youths who prefer to socialise like to spend time with their families and the remaining 18 % choosing to go out . \\n The youths who prefer opting for solo activities are split with 38 % preferring to read a book , while the remaining 12 % prefer to watch TV .
PLOTTITLE[women representation the different sectors], XHIGHEST[law firms], YLABEL[womens representation], XSECOND[financial groups], XTHIRD[insurance], XLEAST[tech], XLEAST[Tech], YLABEL[percentage of women], XLABEL[sector], YLEAST[20], YUNIT[%], XHIGHEST[Law firms], YHIGHEST[60], YUNIT[%]	this graph shows women representation the different sectors for example law firms have more womens representation than financial groups , insurance or tech . Tech has a very low percentage of women in their sector with on 20 % compared to Law firms 60 %
YLABEL[percentage of minority representation], T1AB[Parliament of Lybia], YLABEL[Minority representation], INTERVAL[4], XLABEL[years], YLEASTAPPROX[0.2], YUNIT[%], XLEAST[1990-1994], YHIGHEST[14], YUNIT[%], XHIGHEST[2015-2019]	Bar chart showing the increase in percentage of minority representation in the Parliament of Lybia . \\n \\n Minority representation increases every 4 years - just 0.2 % in the period of 1990-1994 , increasing to 14 % in 2015-2019
YLABEL[the percentage of students], XLABEL[types of department], XLABEL[category], XHIGHEST[STEM], XLEAST[Philosophy], XLABEL[category]	This bar chart displays the percentage of students in different types of department . The modal category is STEM . It is unclear where other departments like History or Social Science fit . Philosophy is the smallest category - but this in unsurprising as it is one subject compared to the conglomeration of STEM subjects .
T1AY[higher education], BARNAMES[North America, Europe, Asia and Africa], XHIGHEST[Asia], BARSREST[North America, Europe and Africa]	This graphs compares higher education spending between North America, Europe, Asia and Africa . Asia spent the most , followed by North America, Europe and Africa .
YLABEL[percentage], PLOTTITLE[gender pay gap], BARNAMES[UK, Spain and Germany], XHIGHEST[UK], YLABEL[gender pay gap], XLEAST[Germany]	This chat looks at the percentage gender pay gap in UK, Spain and Germany . The UK has the largest gender pay gap with Germany having the lowest .
YLABEL[percentage of people], GRFOURTHLEAST[arts and literature], T1AY[women], T0AY[female dominated], XLABEL[department], XHIGHEST[Engineering]	This chart shows women in Narvik are well represented within departments traditionally seen as male dominated . In contrast , only a small percentage of people within arts and literature are women . THe most female dominated department is Engineering
YLABEL[gender pay gap], COUNT[three], XLABEL[countries], YLABEL[gap], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], XSECOND[UK], YSECONDAPPROX[20], YUNIT[%], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	This graph shows the gender pay gap in three different countries . \\n The gap was largest in Germany at 21 % , the UK next at just over 20 % and Spain the lowest at 15 % .
YLABEL[gender pay gap], COUNT[three], XLABEL[countries], YUNIT[percentage], T1AB[year 2017], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], YLABEL[difference in pay], XSECOND[UK], YLABEL[rate], YSECONDAPPROX[20], YUNIT[%], YLABEL[discrepancy], XLEAST[Spain], YLEASTAPPROX[15], YUNIT[%]	The graph depicts the gender pay gap in three countries displayed as a percentage , for the year 2017 . In Germany , there was a 21 % difference in pay , similar to the UK rate which was just over 20 % . The discrepancy was smallest in Spain , at 15 % .
PLOTTITLE[how young people in Zarqa spend their evenings], XLABEL[choices], YLEAST[12], YUNIT[%], T1AY[people], T0AY[time], XLEAST[watching TV], T1AX[evenings], YSECONDAPPROX[33], YUNIT[%], XSECOND[spent time with family], YHIGHEST[38], YUNIT[%], XHIGHEST[read books], YTHIRD[18], YUNIT[%], XTHIRD[go out]	This graph depicts how young people in Zarqa spend their evenings from the choices assigned to the research . 12 % of people spent time watching TV in the evenings ; 33 % spent time with family , 38 % read books , and 18 % go out .
XHIGHEST[UK], YLABEL[gender pay gap], YHIGHESTAPPROX[13], YUNIT[%], XSECOND[spain], YSECOND[10], YUNIT[%], XLEAST[Germany], YLEAST[5], YUNIT[%]	the table shows that the UK has the biggest gender pay gap ( 13 % ) , followed by spain ( 10 % ) and Germany ( 5 % ) .
PLOTTITLE[median annual salary for women in Najaf], XLABEL[year], XSECOND[2000], YUNIT[£], YSECONDAPPROX[22.5], YMAG[000], YUNIT[£], YHIGHESTAPPROX[25], YMAG[000], XHIGHEST[2005], YUNIT[£], YTHIRDAPPROX[19], YMAG[000], YUNIT[£], YLEAST[16], YMAG[000], XTHIRD[2010], XLEAST[2015]	This chart shows the median annual salary for women in Najaf . In the year 2000 , this was around £ 22.5 000 . This then rose to just over £ 25 000 in 2005 , before dropping to £ 19 000 and £ 16 000 in 2010 and 2015 respectively .
PLOTTITLE[median salary of women per year], XSTART[from], XLABEL[years], XLEAST[2000], XEND[-], XHIGHEST[2015], XLABEL[years], T1AY[median], YLABEL[salary], YLEAST[40], YMAG[,000], XLEAST[2000], YHIGHESTAPPROX[56], YMAG[,000], XHIGHEST[2015]	This chart shows the median salary of women per year from the years 2000 - 2015 . Over the years the median salary has increased it was 40 ,000 in 2000 and is now 56 ,000 in 2015 .
YLABEL[Gender Pay Gap], XHIGHEST[UK], YLABEL[percentage], YHIGHESTAPPROX[14], XSECOND[Spain], YLABEL[Gender Pay Gap], YSECOND[10], YUNIT[%], XLEAST[Germany], COUNT[3], YLABEL[Gender Pay Gap], YLEAST[5], YUNIT[%]	This chart shows that the biggest Gender Pay Gap is in the UK with a percentage of over 14 . Spain has a Gender Pay Gap of 10 % and Germany is the lowest of the 3 with a Gender Pay Gap of 5 %
BARNAMES[Germany , Spain and the UK], YLABEL[gender pay gap], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], XSECOND[UK], XLEAST[Spain's], YLEASTAPPROX[15], YUNIT[%]	Between Germany , Spain and the UK the gender pay gap is biggest in Germany at 21 % , a little more than in the UK . Spain's is at 15 % .
XLEAST[Germany], YLABEL[gender pay gap], YLEAST[5], YUNIT[%], XSECOND[Spain], MULSECONDLEAST[double], YSECOND[10], YUNIT[%], XHIGHEST[UK], YLABEL[inequality], YHIGHEST[15], YUNIT[%]	Germany has the lowest gender pay gap of just 5 % . Spain is double that at 10 % and the UK is behind with the largest inequality of 15 % .
PLOTTITLE[median salary of women in Majaf per year], XLABEL[year], XSECOND[2000], YLABEL[median salary], YUNIT[£], YSECONDAPPROX[22.5], YMAG[,000], YUNIT[£], YHIGHESTAPPROX[26.5], YMAG[,000], XLABEL[year], XHIGHEST[2005], XLABEL[year], XTHIRD[2010], YUNIT[£], YTHIRDAPPROX[20], YMAG[,000], XLABEL[year], XLEAST[2015], YUNIT[£], YLEAST[16], YMAG[,000]	This graph shows the median salary of women in Majaf per year . In the year 2000 the median salary was £ 22.5 ,000 . This increased to £ 26.5 ,000 in the year 2005 . There was a decrease by the year 2010 to slightly under £ 20 ,000 and another decrease by the year 2015 to around £ 16 ,000 .
YLABEL[closing stocking prices], GRHIGHESTSECONDTHIRD[Monday through Wednesday], YUNIT[£], YTHIRDAPPROX[50], YUNIT[£], YHIGHESTAPPROX[75], GRFOURTHLEAST[Thursday and Friday], YUNIT[£], YHIGHESTAPPROX[75], XHIGHEST[Wednesday], YUNIT[£], YFOURTHAPPROX[20], XFOURTH[Thursday], YUNIT[£], YLEASTAPPROX[9], XLEAST[Friday]	This chart shows that the closing stocking prices increase Monday through Wednesday ( from £ 50 to £ 75 ) , but drop on Thursday and Friday . From £ 75 on Wednesday to roughly £ 20 on Thursday , then around £ 9 on Friday .
PLOTTITLE[median salary of woman in Najaf per year], XSTART[from], XSECOND[2000], XEND[to], XLEAST[2015], YLABEL[median salary], XHIGHEST[2005], YUNIT[£], YHIGHESTAPPROX[26], YMAG[,000], XHIGHEST[2005], YUNIT[£], YTHIRDAPPROX[19], YMAG[,000], XTHIRD[2010], YUNIT[£], YLEAST[16], YMAG[,000], XLEAST[2015]	The graph shows the median salary of woman in Najaf per year from 2000 to 2015 . The median salary was highest in 2005 with £ 26 ,000 . Since 2005 it has dropped , staying at £ 19 ,000 in 2010 and then £ 16 ,000 in 2015 .
T1AY[Afec Inc], YLABEL[closing stock price], YUNIT[£], YHIGHESTAPPROX[91], XHIGHEST[Monday], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday], XFOURTH[Thursday], XLEAST[Friday], YLABEL[stock price], MULFOURTHLEAST[halved], YUNIT[£], YFOURTHAPPROX[60], XFOURTH[Thursday], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday]	As the week has gone on the Afec Inc closing stock price has decreased . Starting at £ 91 on Monday and closing on £ 30 by Friday . \\n \\n Thursday to Friday saw the biggest drop in stock price , with it being halved from £ 60 on Thursday to £ 30 by Friday .
PLOTTITLE[number of top 100 universities in each continent], YHIGHEST[50], XHIGHEST[American continent], YSECOND[30], XSECOND[Europe], YTHIRD[20], XTHIRD[Asia], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[5], T1AY[top 100 universities]	This chart shows the number of top 100 universities in each continent . There are 50 in the American continent , 30 in Europe and 20 in Asia . Africa and Australia show as having 5 of the top 100 universities each
YLABEL[engineers' salaries], XTHIRD[Bachelor], XSECOND[Master], XLEAST[PhD], T1AB[Engineers], XLEAST[no degree], XTHIRD[Bachelor], YLABEL[salaries], ADDLEASTTHIRD[10], YMAG[,000]	There is an equal increase between engineers' salaries from Bachelor through Master to PhD . Engineers with no degree were worse off than Bachelor ' s salaries by approximately 10 ,000 .
YLABEL[number], T1AY[young people], T1AB[zarqa], T1AX[evenings], XHIGHEST[reading a book], YHIGHEST[38], YUNIT[%], XSECOND[spend time with family], YLABEL[percentage], T0AX[time], XTHIRD[going out], YLEAST[12], YUNIT[%], T0AX[time], XLEAST[watching TV]	The highest number of young people in zarqa spend their evenings reading a book ( 38 % ) then spend time with family . A lower percentage spend their time going out , with only 12 % spend their time watching TV .
XHIGHEST[middle aged people], XHIGHEST[45-54], YLABEL[time], T1AY[average], T1AY[social media], GRFOURTHLEAST[Between 25 and 44], YLABEL[average amount], GRYFOURTHLEAST[70], YUNIT[minutes], T1AY[daily], T1AY[social media]	This chart indicates that middle aged people ( 45-54 ) spend more time on average on social media than any other group . Between 25 and 44 the average amount is very similar with them spending just over 70 minutes daily on social media .
PLOTTITLE[Akef Inc closing stick prices for the week], XTHIRD[Monday], YLABEL[prices], YUNIT[£], YTHIRDAPPROX[50], XSECOND[Tuesday], YUNIT[£], YSECONDAPPROX[60], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[75], XFOURTH[Thursday], YUNIT[£], YFOURTHAPPROX[20], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[10]	Here we see a bar chart showing Akef Inc closing stick prices for the week . \\n On Monday the prices are just about £ 50 , Tuesday just above £ 60 , Wednesday just under £ 75 , Thursday just above £ 20 and Friday just under £ 10
YLABEL[representation of women], YHIGHEST[60], YUNIT[%], XHIGHEST[law], XLABEL[sectors], XSECOND[financial groups], YSECONDAPPROX[45], YUNIT[%], XTHIRD[insurance], YTHIRD[25], YUNIT[%], XLEAST[Tech], YLEAST[20], YUNIT[%]	Largest representation of women at 60 % in law sectors , then financial groups at 45 % , insurance at 25 % and Tech at only 20 %
YLABEL[percentage of students], T1AX[choosing], T1AY[study], XLABEL[subjects], T1AB[Lagos state University], XSECOND[philosophy], XHIGHEST[medicine], XLABEL[subjects]	This chart represents the percentage of students choosing to study certain subjects at Lagos state University . No time frame is given , but it indicates that philosophy and medicine are the top subjects .
PLOTTITLE[number of fatalities in the Pula Steel Factory], YHIGHEST[30], XLEAST[2012], YLEASTAPPROX[13], XLEAST[2016], SLOPEY[5], SLOPEX[year]	This graph shows the number of fatalities in the Pula Steel Factory . The trend decreases from 30 in 2012 to 13 in 2016 , with an average decrease of 5 per year .
GRFOURTHLEAST[people aged 25-44], YLABEL[amount of minutes], T1AY[social media], GRYFOURTHLEAST[80], YUNIT[minutes], T1AY[day], XHIGHEST[45-54], YLABEL[time], T1AY[social media], YHIGHEST[150], YUNIT[minutes], T1AY[day]	This chart shows that people aged 25-44 are spending the least amount of minutes on social media , at just under 80 minutes per day . \\n \\n Whereas those aged 45-54 are spending the most time on social media at 150 minutes per day .
PLOTTITLE[average time in minutes spent on social media daily in Maputo by age groups], XSTART[from], XHIGHEST[15], XEND[-], XLEAST[64], XLABEL[age group], XHIGHEST[15-24 years], XLEAST[age 55-64 years], XSTART[from], XHIGHEST[15], XEND[to], XLEAST[64], YHIGHESTAPPROX[180], YUNIT[minutes a day], XHIGHEST[ages 15-24], YLEASTAPPROX[80], YUNIT[minutes a day], XLEAST[aged 55-64 years]	This chart represents the average time in minutes spent on social media daily in Maputo by age groups ranging from 15 - 64 . \\n \\n As you will see from the chart , the highest age group is 15-24 years and the lowest is age 55-64 years . \\n \\n Over the years from 15 to 64 , it declines gradually from 180 minutes a day at ages 15-24 to 80 minutes a day for those aged 55-64 years .
PLOTTITLE[how young people in Zarqa spend their evenings], COUNT[4], XLABEL[activities], YLABEL[percentage], XHIGHEST[reading a book], YHIGHEST[38], YUNIT[%], XSECOND[time with family], YSECOND[32], YUNIT[%], XTHIRD[going out], YTHIRD[18], YUNIT[%], XLEAST[watching TV], YLEAST[12], YUNIT[%]	The graph shows how young people in Zarqa spend their evenings . Over 4 activities , the largest percentage is spent on reading a book which accounts for 38 % followed by time with family at 32 % then going out at 18 % and lastly watching TV at only 12 %
PLOTTITLE[number of fatal injuries at the Pula Steel Factory], XSTART[between], XHIGHEST[2012], XEND[and], XLEAST[2016], YLABEL[fatality rate], YHIGHEST[30], YUNIT[fatalities], XHIGHEST[2012], YSECOND[25], XSECOND[2013], YTHIRD[16], XTHIRD[2014], ADDHIGHESTFOURTH[15], XFOURTH[2015], XEND[and], YLEAST[12], XLEAST[2016], XSTART[between], XSECOND[2013], XEND[and], XTHIRD[2014]	This chart shows the number of fatal injuries at the Pula Steel Factory between 2012 and 2016 . The fatality rate has fallen each year . There were 30 fatalities in 2012 , 25 in 2013 , 16 in 2014 , 15 in 2015 and 12 in 2016 . The biggest drop was between 2013 and 2014 .
PLOTTITLE[Median Salary of Women in Najaf Per Year], XSECOND[2000], YUNIT[£], YSECONDAPPROX[23], YUNIT[pounds], XLABEL[year], XHIGHEST[2005], YUNIT[£], YHIGHESTAPPROX[25], YUNIT[pounds], XLABEL[year], XTHIRD[2010], YUNIT[£], YTHIRDAPPROX[20], YUNIT[pounds], XLABEL[year], XLEAST[2015], YUNIT[£], YLEASTAPPROX[15], YUNIT[pounds], XLABEL[year]	Here we see a bar chart of Median Salary of Women in Najaf Per Year . \\n In 2000 it was just under £ 23 pounds a year . \\n In 2005 it was just above £ 25 pounds a year . \\n In 2010 it was just under £ 20 pounds a year . \\n In 2015 it was just above £ 15 pounds a year . \\n It is unclear according to this chart why the median has n't been consistent .
XHIGHEST[Fast food], XLABEL[cause of obesity], YHIGHEST[60], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%], XSECOND[genetics], YSECOND[30], YUNIT[%], XLABEL[causes]	Fast food is the major cause of obesity at 60 % with lack of exercise at 10 % but genetics is 30 % of leading causes .
YHIGHEST[50], YUNIT[%], T1AY[top 100 universities], XHIGHEST[America], YSECOND[30], YUNIT[%], XSECOND[Europe], XTHIRD[Asia], XSECOND[European], YLABEL[figure], YTHIRD[20], YUNIT[%], GRLEASTLEAST[Australia and Africa], GRYLEASTLEAST[5/6], YUNIT[%]	50 % of the top 100 universities are in America , followed by 30 % in Europe . Asia is close to the European figure at 20 % . Australia and Africa are similarly low at about 5/6 % .
PLOTTITLE[average time spent on social media each day in Maputo by Age Group], T1AY[daily], YLABEL[usage rate], YHIGHESTAPPROX[175], YUNIT[minutes], XHIGHEST[15-24 age group], YSECONDAPPROX[160], XSECOND[25-34 year olds], XTHIRD[35-44 age group], YTHIRDAPPROX[125], YUNIT[minutes], T1AY[day], XFOURTH[45-54 year olds], YFOURTHAPPROX[100], YUNIT[minutes], T1AY[day], XLEAST[55-64 year olds], YLEASTAPPROX[75], YUNIT[minutes]	The graph shows the average time spent on social media each day in Maputo by Age Group . \\n The highest daily usage rate was 175 minutes and came from the 15-24 age group . This was followed by 160 by 25-34 year olds . The 35-44 age group spent 125 minutes a day , the 45-54 year olds spent just under 100 minutes a day and the 55-64 year olds spent 75 minutes .
YLABEL[percentage], COUNT[3], XLABEL[options], PLOTTITLE[causing obesity in Kiribati], YLEASTAPPROX[24], YUNIT[%], XLEAST[fast food], YHIGHESTAPPROX[40], YUNIT[%], XHIGHEST[genetics], YSECONDAPPROX[35], YUNIT[%], XSECOND[lack of exercise]	This graph depicts the percentage of 3 options for causing obesity in Kiribati . It says 24 % is because of fast food , 40 % is because of genetics , and 35 % because of lack of exercise .
YLABEL[young people], T1AB[Zarqa], T1AX[evenings], XHIGHEST[reading a book], YHIGHEST[38], YUNIT[%], XLABEL[way], T1AX[evening], XLEAST[watching TV], YLEAST[12], YUNIT[%]	The majority of young people in Zarqa spend their evenings reading a book , at 38 % . The least popular way to spend the evening is by watching TV , at 12 % .
PLOTTITLE[Akef Inc closing stock prices for the week], XTHIRD[Monday], YLABEL[closing price], YUNIT[£], YTHIRD[51], XSECOND[Tuesday], YUNIT[£], YSECONDAPPROX[61], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[74], YLABEL[closing price], YUNIT[£], YFOURTHAPPROX[22], YUNIT[£], YLEASTAPPROX[9], XFOURTH[Thursday], XLEAST[Friday]	The graph shows Akef Inc closing stock prices for the week . \\n On Monday the closing price was £ 51 , on Tuesday it was £ 61 and on Wednesday it was £ 74 . After that the closing price declined sharply to £ 22 and £ 9 on Thursday and Friday respectively .
T1AB[software engineer], YLABEL[salary], XLEAST[no degree], MULLEASTHIGHEST[half], YLABEL[salary], XHIGHEST[PHd]	This graph shows a trend that the higher the qualifications held by software engineer , the greater the salary they receive . Those with no degree receive almost half of the salary received by those with a PHd . Education increases earning potential .
PLOTTITLE[gender pay gap], YUNIT[percentage], BARNAMES[UK, Spain an Germany], XHIGHEST[UK], YLABEL[pay gap], XSECOND[Spain], XLEAST[Germany], YLABEL[pay gap]	The graph indicates the gender pay gap as a percentage , comparing the UK, Spain an Germany . The UK has the largest pay gap , followed by Spain and then Germany has the smallest pay gap .
XHIGHEST[Watching TV], YHIGHEST[40], YUNIT[%], T1AY[young people], T1AX[evenings], YSECOND[30], YUNIT[%], XSECOND[go out], YTHIRD[20], YUNIT[%], XTHIRD[spend time with family], YLEAST[10], YUNIT[%], XLEAST[read a book]	Watching TV is how 40 % young people spend their evenings , 30 % go out , 20 % spend time with family and 10 % read a book
PLOTTITLE[female representation in different work sectors in Benoni], COUNT[fours], XLABEL[sectors], XHIGHEST[insurance], YHIGHEST[65], YUNIT[%], XSECOND[Tech], YSECOND[62], YUNIT[%], XTHIRD[financial groups], YTHIRD[50], YUNIT[%], YLABEL[women representing], XLEAST[law firms], YLEAST[35], YUNIT[%], YLABEL[female representation]	The following graph shows the female representation in different work sectors in Benoni , the fours sectors are insurance which is the highest with 65 % . Tech with 62 % , financial groups with 50 % women representing and law firms with only 35 % female representation .
PLOTTITLE[number of Top 100 Universities per continent], XHIGHEST[America], YHIGHEST[50], XSECOND[Europe], YSECOND[30], XTHIRD[Asia], YTHIRD[20], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[6]	The graph shows the number of Top 100 Universities per continent . America has the most at 50 , Europe second with 30 , then Asia with 20 and Africa and Australia are joint last with 6 each .
T1AY[median], YLABEL[salary], T1AB[women], XSTART[from], XLEAST[2000], XEND[to], XHIGHEST[2015], T0AY[average], YUNIT[$], SLOPEY[5], YMAG[,000], SLOPEX[5], XLABEL[years]	The median salary for women has risen steadily from 2000 to 2015 , with on average a $ 5 ,000 increase every 5 years .
PLOTTITLE[number of fatal injuries at the Pula Steel Factory], XLABEL[year], COUNT[5], XLABEL[years], XSECOND[2012], YSECOND[27], YUNIT[accidents], XHIGHEST[2013], YHIGHESTAPPROX[33], YUNIT[accidents], XTHIRD[2014], YTHIRD[26], YUNIT[accidents], XLEAST[2015], YLEAST[22], YUNIT[accidents], XFOURTH[2016], YFOURTH[25], YUNIT[accidents]	The graph depicts the number of fatal injuries at the Pula Steel Factory by year across 5 years . In 2012 there were 27 accidents , 2013 there were 33 accidents , 2014 there were 26 accidents , 2015 there were 22 accidents , and in 2016 there were 25 accidents .
PLOTTITLE[median salary of software engineers with respect to their degree], YUNIT[$], ADDHIGHESTTHIRD[20], YMAG[,000], YLABEL[salary], XTHIRD[bachelor], XLABEL[degree], XHIGHEST[Phd], YUNIT[$], ADDTHIRDLEAST[10], YMAG[,000], XTHIRD[degree], XLEAST[without]	The graphs shows the median salary of software engineers with respect to their degree . We can see that there is an approximately $ 20 ,000 salary difference between those with a bachelor degree and those with a Phd but only an approximate $ 10 ,000 difference between those with a degree and those without .
T1AY[women], T1AY[represented], XLEAST[technology industry], YLEAST[20], YUNIT[%], T1AY[represented], XTHIRD[insurance industry], YTHIRD[25], YUNIT[%], XSECOND[financial group], YSECOND[40], YUNIT[%], T1AY[represented], YHIGHEST[60], YUNIT[%], XHIGHEST[law firms]	This graph shows that women are least represented in the technology industry at 20 % . They are slightly better represented in the insurance industry at 25 % and better again in the financial group at almost 40 % . They are well represented at 60 % in law firms .
PLOTTITLE[gender pay gap], COUNT[3], XLABEL[countries], XHIGHEST[UK], YHIGHESTAPPROX[16], YUNIT[%], XSECOND[Spain], YSECOND[10], YUNIT[%], XLEAST[Germany], YLEASTAPPROX[6], YUNIT[%]	This chart shows the gender pay gap of 3 countries . The largest is the UK with 16 % , followed by Spain at 10 % and lastly Germany at 6 %
YLABEL[expenditure], T1AY[higher education], XLABEL[geographic areas], T1AB[2010], XLABEL[investor], T1AY[higher education], XHIGHEST[Africa], YUNIT[£], YHIGHESTAPPROX[290], YMAG[M], XLEAST[North America], YUNIT[£], YLEASTAPPROX[150], YMAG[M], T1AB[year 2010]	This chart represents expenditure on higher education across geographic areas in 2010 . \\n \\n The highest investor in higher education was Africa , spending £ 290 M . \\n \\n North America spent the least , reporting spend of just under £ 150 M for the year 2010 .
PLOTTITLE[total money spent on higher education], XLABEL[continent], XLEAST[North America], YUNIT[£], YLEASTAPPROX[150], XTHIRD[Asia], YUNIT[£], YTHIRD[175], YMAG[million], XSECOND[Europe], YUNIT[£], YSECONDAPPROX[275], XHIGHEST[Africa], YUNIT[£], YHIGHESTAPPROX[300], YMAG[million]	This graph shows total money spent on higher education by continent . North America spent approximately £ 150 million ; Asia comes in second with around £ 175 million ; then Europe with £ 275 , and finally Africa with almost £ 300 million .
PLOTTITLE[how young people spend their leisure time in the evenings], YHIGHEST[40], YUNIT[%], T1AX[evenings], XHIGHEST[watching TV], YTHIRD[20], YUNIT[%], XTHIRD[with their families], YLEAST[10], YUNIT[%], XLEAST[reading a book], YLABEL[%], XSECOND[out and about]	This graph represents how young people spend their leisure time in the evenings . 40 % spend their evenings watching TV , 20 % spend it with their families , 10 % are reading a book whilst 30 % are out and about .
YHIGHEST[50], YUNIT[%], T0AB[world], T1AY[top], YLABEL[universities], XHIGHEST[America], YSECOND[30], YUNIT[%], XSECOND[Europe], YTHIRD[20], YUNIT[%], XTHIRD[Asia], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[5], YUNIT[%], T0AB[world], T1AY[top], YLABEL[universities]	50 % of the world ' s top universities are in America , 30 % are in Europe , followed by 20 % in Asia . Africa and Australia are each only home to 5 % of the world ' s top universities .
YLABEL[amount of money], COUNT[four], XLABEL[continents], PLOTTITLE[higher education in the year 2010], YMAG[millions], YUNIT[pounds sterling], XLABEL[continent], XLEAST[North America], YUNIT[£], YLEASTAPPROX[150], YMAG[m], XHIGHEST[Africa], MULHIGHESTLEAST[double]	This chart highlights the amount of money four continents spent on higher education in the year 2010 , in millions of pounds sterling . We can see that the continent that spent the lowest was North America , with almost £ 150 m . Africa spent almost double this .
